soccer	NN	NN
-	:	:
japan	NNP	NNP
get	VB	NNP
lucky	NNP	NNP
win	NNP	NNP
,	,	,
china	NNP	NNP
in	IN	IN
surprise	DT	NNP
defeat	NN	NNP
.	.	.

nadim	NNP	NNP
ladki	NNP	NNP

al-ain	NNP	NNP
,	,	,
united	NNP	NNP
arab	NNP	NNP
emirates	NNPS	NNP
1996-12-06	CD	CD

japan	NNP	NNP
began	VBD	VBD
the	DT	DT
defence	NN	NN
of	IN	IN
their	PRP$	PRP$
asian	JJ	NNP
cup	NNP	NNP
title	NN	NN
with	IN	IN
a	DT	DT
lucky	JJ	NN
2-1	CD	CD
win	VBP	VBP
against	IN	IN
syria	NNP	NNP
in	IN	IN
a	DT	DT
group	NNP	NN
c	NNP	SYM
championship	NN	NN
match	NN	NN
on	IN	IN
friday	NNP	NNP
.	.	.

but	CC	CC
china	NNP	NNP
saw	VBD	VBD
their	PRP$	PRP$
luck	NN	JJ
desert	VB	NN
them	PRP	PRP
in	IN	IN
the	DT	DT
second	NN	JJ
match	NN	NN
of	IN	IN
the	DT	DT
group	NN	NN
,	,	,
crashing	VBG	VBG
to	TO	TO
a	DT	DT
surprise	NN	NN
2-0	CD	CD
defeat	NN	NN
to	TO	TO
newcomers	NNS	NNS
uzbekistan	NNP	NNP
.	.	.

china	NNP	NNP
controlled	VBD	VBD
most	JJS	JJS
of	IN	IN
the	DT	DT
match	NN	NN
and	CC	CC
saw	VBD	VBD
several	JJ	JJ
chances	NNS	NNS
missed	VBD	VBD
until	IN	IN
the	DT	DT
78th	JJ	JJ
minute	NN	NN
when	WRB	WRB
uzbek	NNP	JJ
striker	NN	NN
igor	JJ	NNP
shkvyrin	NNP	NNP
took	VBD	VBD
advantage	NN	NN
of	IN	IN
a	DT	DT
misdirected	JJ	JJ
defensive	JJ	JJ
header	NN	NN
to	TO	TO
lob	VB	VB
the	DT	DT
ball	NN	NN
over	IN	IN
the	DT	DT
advancing	VBG	VBG
chinese	JJ	JJ
keeper	NN	NN
and	CC	CC
into	IN	IN
an	DT	DT
empty	JJ	JJ
net	NN	NN
.	.	.

oleg	NNP	NNP
shatskiku	NNP	NNP
made	VBD	VBD
sure	JJ	JJ
of	IN	IN
the	DT	DT
win	VBP	VBP
in	IN	IN
injury	NN	NN
time	NN	NN
,	,	,
hitting	VBG	VBG
an	DT	DT
unstoppable	JJ	NN
left	VBD	VBD
foot	NN	NN
shot	NN	NN
from	IN	IN
just	RB	RB
outside	IN	IN
the	DT	DT
area	NN	NN
.	.	.

the	DT	DT
former	JJ	JJ
soviet	JJ	NNP
republic	NN	NNP
was	VBD	VBD
playing	VBG	VBG
in	IN	IN
an	DT	DT
asian	NNP	NNP
cup	NNP	NNP
finals	NNS	NNS
tie	NN	VBP
for	IN	IN
the	DT	DT
first	JJ	JJ
time	NN	NN
.	.	.

despite	IN	IN
winning	VBG	VBG
the	DT	DT
asian	JJ	JJ
games	NNPS	NNS
title	NN	NN
two	CD	CD
years	NNS	NNS
ago	RB	RB
,	,	,
uzbekistan	NNP	NNP
are	VBP	VBP
in	IN	IN
the	DT	DT
finals	NNS	NNS
as	IN	IN
outsiders	NNS	NNS
.	.	.

two	CD	CD
goals	NNS	NNS
from	IN	IN
defensive	JJ	JJ
errors	NNS	NNS
in	IN	IN
the	DT	DT
last	JJ	JJ
six	CD	CD
minutes	NNS	NNS
allowed	VBD	VBD
japan	NNP	NNP
to	TO	TO
come	VB	VB
from	IN	IN
behind	NN	RB
and	CC	CC
collect	VB	VB
all	DT	DT
three	CD	CD
points	NNS	NNS
from	IN	IN
their	PRP$	PRP$
opening	NN	JJ
meeting	NN	NN
against	IN	IN
syria	NNP	NNP
.	.	.

takuya	NNP	NNP
takagi	NNP	NNP
scored	VBD	VBD
the	DT	DT
winner	NN	NN
in	IN	IN
the	DT	DT
88th	JJ	JJ
minute	NN	NN
,	,	,
rising	VBG	VBG
to	TO	TO
head	VB	VB
a	DT	DT
hiroshige	NNP	NNP
yanagimoto	NNP	NNP
cross	VB	NN
towards	IN	IN
the	DT	DT
syrian	JJ	JJ
goal	NN	NN
which	WDT	WDT
goalkeeper	VBD	NN
salem	NNP	NNP
bitar	NNP	NNP
appeared	VBD	VBD
to	TO	TO
have	VB	VB
covered	VBN	VBN
but	CC	CC
then	RB	RB
allowed	VBN	VBN
to	TO	TO
slip	VB	VB
into	IN	IN
the	DT	DT
net	NN	NN
.	.	.

it	PRP	PRP
was	VBD	VBD
the	DT	DT
second	JJ	JJ
costly	JJ	JJ
blunder	NN	NN
by	IN	IN
syria	NNP	NNP
in	IN	IN
four	CD	CD
minutes	NNS	NNS
.	.	.

defender	NNP	NN
hassan	NNP	NNP
abbas	NNP	NNP
rose	VBD	VBD
to	TO	TO
intercept	VB	VB
a	DT	DT
long	JJ	JJ
ball	NN	NN
into	IN	IN
the	DT	DT
area	NN	NN
in	IN	IN
the	DT	DT
84th	JJ	JJ
minute	NN	NN
but	CC	CC
only	RB	RB
managed	VBD	VBN
to	TO	TO
divert	VB	VB
it	PRP	PRP
into	IN	IN
the	DT	DT
top	JJ	JJ
corner	NN	NN
of	IN	IN
bitar	NN	NNP
's	POS	POS
goal	NN	NN
.	.	.

nader	NNP	NNP
jokhadar	NNP	NNP
had	VBD	VBD
given	VBN	VBN
syria	NNP	NNP
the	DT	DT
lead	NN	NN
with	IN	IN
a	DT	DT
well-struck	NN	JJ
header	NN	NN
in	IN	IN
the	DT	DT
seventh	JJ	JJ
minute	NN	NN
.	.	.

japan	NNP	NNP
then	RB	RB
laid	VBD	VBN
siege	NN	NN
to	TO	TO
the	DT	DT
syrian	JJ	JJ
penalty	NN	NN
area	NN	NN
for	IN	IN
most	JJS	JJS
of	IN	IN
the	DT	DT
game	NN	NN
but	CC	CC
rarely	RB	RB
breached	VBD	VBD
the	DT	DT
syrian	JJ	JJ
defence	NN	NN
.	.	.

bitar	NN	NNP
pulled	VBD	VBD
off	RP	RP
fine	JJ	JJ
saves	VBZ	NNS
whenever	WRB	WRB
they	PRP	PRP
did	VBD	VBD
.	.	.

japan	NNP	NNP
coach	NN	NN
shu	NNP	NNP
kamo	NNP	NNP
said	VBD	VBD
:	:	:
'	''	''
'	POS	''
the	DT	DT
syrian	JJ	JJ
own	JJ	JJ
goal	NN	NN
proved	VBD	VBD
lucky	JJ	JJ
for	IN	IN
us	PRP	PRP
.	.	.

the	DT	DT
syrians	NNPS	NNPS
scored	VBD	VBD
early	JJ	RB
and	CC	CC
then	RB	RB
played	VBN	VBD
defensively	RB	JJ
and	CC	CC
adopted	VBD	VBD
long	RB	JJ
balls	VBZ	NNS
which	WDT	WDT
made	VBD	VBD
it	PRP	PRP
hard	JJ	JJ
for	IN	IN
us	PRP	PRP
.	.	.
'	''	''

'	''	''

japan	NNP	NNP
,	,	,
co-hosts	VBZ	NNS
of	IN	IN
the	DT	DT
world	NNP	NNP
cup	NNP	NNP
in	IN	IN
2002	CD	CD
and	CC	CC
ranked	VBD	VBD
20th	JJ	JJ
in	IN	IN
the	DT	DT
world	NN	NN
by	IN	IN
fifa	NNP	NNP
,	,	,
are	VBP	VBP
favourites	JJ	NNS
to	TO	TO
regain	VB	VB
their	PRP$	PRP$
title	NN	NN
here	RB	RB
.	.	.

hosts	NNPS	NNP
uae	NNP	NNP
play	NN	NNP
kuwait	NNP	NNP
and	CC	CC
south	NNP	NNP
korea	NNP	NNP
take	VBP	VB
on	IN	IN
indonesia	NNP	NNP
on	IN	IN
saturday	NNP	NNP
in	IN	IN
group	NNP	NN
a	NNP	DT
matches	VBZ	NNS
.	.	.

all	DT	DT
four	CD	CD
teams	NNS	NNS
are	VBP	VBP
level	NN	JJ
with	IN	IN
one	CD	CD
point	NN	NN
each	DT	DT
from	IN	IN
one	CD	CD
game	NN	NN
.	.	.

rugby	NNP	NNP
union	NN	NNP
-	:	:
cuttitta	NNP	NNP
back	NNP	NNP
for	IN	IN
italy	JJ	NNP
after	NNP	IN
a	NNP	DT
year	NNP	NN
.	.	.

rome	VB	NNP
1996-12-06	CD	CD

italy	NNP	NNP
recalled	VBD	VBD
marcello	NNP	NNP
cuttitta	NNP	NNP

on	IN	IN
friday	NNP	NNP
for	IN	IN
their	PRP$	PRP$
friendly	JJ	JJ
against	IN	IN
scotland	NNP	NNP
at	IN	IN
murrayfield	NNP	NNP
more	JJR	RBR
than	IN	IN
a	DT	DT
year	NN	NN
after	IN	IN
the	DT	DT
30-year-old	JJ	JJ
wing	NN	NN
announced	VBD	VBD
he	PRP	PRP
was	VBD	VBD
retiring	VBG	VBG
following	VBG	JJ
differences	NNS	NNS
over	IN	IN
selection	NN	NN
.	.	.

cuttitta	NNP	NNP
,	,	,
who	WP	WP
trainer	NN	NN
george	NNP	NNP
coste	NNP	NNP
said	VBD	VBD
was	VBD	VBD
certain	JJ	JJ
to	TO	TO
play	VB	VB
on	IN	IN
saturday	NNP	NNP
week	NN	NN
,	,	,
was	VBD	VBD
named	VBN	VBN
in	IN	IN
a	DT	DT
21-man	JJ	JJ
squad	NN	NN
lacking	VBG	VBG
only	RB	RB
two	CD	CD
of	IN	IN
the	DT	DT
team	NN	NN
beaten	VBN	VBD
54-21	JJ	CD
by	IN	IN
england	NNP	NNP
at	IN	IN
twickenham	NNP	NNP
last	JJ	JJ
month	NN	NN
.	.	.

stefano	NNP	NNP
bordon	NNP	NNP
is	VBZ	VBZ
out	RP	RP
through	IN	IN
illness	NN	NN
and	CC	CC
coste	NNP	NNP
said	VBD	VBD
he	PRP	PRP
had	VBD	VBD
dropped	VBN	VBN
back	RB	RB
row	NN	CD
corrado	NNP	NNP
covi	NNP	NNP
,	,	,
who	WP	WP
had	VBD	VBD
been	VBN	VBN
recalled	VBD	VBN
for	IN	IN
the	DT	DT
england	NNP	NNP
game	NN	NN
after	IN	IN
five	CD	CD
years	NNS	NNS
out	IN	IN
of	IN	IN
the	DT	DT
national	JJ	JJ
team	NN	NN
.	.	.

cuttitta	NNP	NNP
announced	VBD	VBD
his	PRP$	PRP$
retirement	NN	NN
after	IN	IN
the	DT	DT
1995	CD	CD
world	NNP	NNP
cup	NNP	NNP
,	,	,
where	WRB	WRB
he	PRP	PRP
took	VBD	VBD
issue	NN	NN
with	IN	IN
being	VBG	VBG
dropped	VBN	VBN
from	IN	IN
the	DT	DT
italy	NNP	NNP
side	NN	NN
that	WDT	WDT
faced	VBD	VBD
england	NNP	NNP
in	IN	IN
the	DT	DT
pool	NN	NN
stages	NNS	NNS
.	.	.

coste	NNP	NNP
said	VBD	VBD
he	PRP	PRP
had	VBD	VBD
approached	VBN	VBN
the	DT	DT
player	NN	NN
two	CD	CD
months	NNS	NNS
ago	RB	RB
about	RB	IN
a	DT	DT
comeback	NN	NN
.	.	.

"	"	"
he	PRP	PRP
ended	VBD	VBD
the	DT	DT
world	NNP	NNP
cup	NNP	NNP
on	IN	IN
the	DT	DT
wrong	JJ	JJ
note	NN	NN
,	,	,
"	"	"
coste	NNP	NNP
said	VBD	VBD
.	.	.

"	"	"
i	PRP	PRP
thought	VBD	VBD
it	PRP	PRP
would	MD	MD
be	VB	VB
useful	JJ	JJ
to	TO	TO
have	VB	VB
him	PRP	PRP
back	RB	RB
and	CC	CC
he	PRP	PRP
said	VBD	VBD
he	PRP	PRP
would	MD	MD
be	VB	VB
available	JJ	JJ
.	.	.

i	PRP	PRP
think	VBP	VBP
now	RB	RB
is	VBZ	VBZ
the	DT	DT
right	JJ	JJ
time	NN	NN
for	IN	IN
him	PRP	PRP
to	TO	TO
return	VB	VB
.	.	.
"	"	"

squad	VB	NN
:	:	:
javier	NNP	NNP
pertile	NNP	NNP
,	,	,
paolo	NNP	NNP
vaccari	NNP	NNP
,	,	,
marcello	NNP	NNP
cuttitta	NNP	NNP
,	,	,
ivan	NNP	NNP
francescato	NNP	NNP
,	,	,
leandro	NNP	NNP
manteri	NNP	NNP
,	,	,
diego	NNP	NNP
dominguez	NNP	NNP
,	,	,
francesco	NNP	NNP
mazzariol	NNP	NNP
,	,	,
alessandro	NNP	NNP
troncon	NNP	NNP
,	,	,
orazio	NNP	NNP
arancio	NNP	NNP
,	,	,
andrea	NNP	NNP
sgorlon	NNP	NNP
,	,	,
massimo	NNP	NNP
giovanelli	NNP	NNP
,	,	,
carlo	NNP	NNP
checchinato	NNP	NNP
,	,	,
walter	NNP	NNP
cristofoletto	NNP	NNP
,	,	,
franco	NNP	NNP
properzi	NNP	NNP
curti	NNP	NNP
,	,	,
carlo	NNP	NNP
